disease_accession:ID(Disease),disease_id,disease_acronym,disease_description,disease_xref_db,disease_xref_id,association_source,:LABEL
SYN:failure-to-form-lobulo-alveolar-mammary-structures-during-pregnancy-resulting-in,"failure to form lobulo-alveolar mammary structures during pregnancy, resulting in death of newborns",,"Deficiency in Tnfsf11 results in failure to form lobulo-alveolar mammary structures during pregnancy, resulting in death of newborns. Trance-deficient mice show severe osteopetrosis, with no osteoclasts, marrow spaces, or tooth eruption, and exhibit profound growth retardation at several skeletal sites, including the limbs, skull, and vertebrae and have marked chondrodysplasia, with thick, irregular growth plates and a relative increase in hypertrophic chondrocytes",,,UniProt,Disease
SYN:lupus-nephritis-a-severe-autoimmune-disease,"lupus nephritis, a severe autoimmune disease",,"Defects in Phyh are the cause of lupus nephritis, a severe autoimmune disease. Phyh could be involved in a reaction against the progression of the disease, because its expression is low in the early stage of the disease in the renal cortex of MRL/lpr mice",,,UniProt,Disease
SYN:spontaneous-insertion-of-a-retrotransposon-in-the-wnt9b-promoter-region-causes-r,Spontaneous insertion of a retrotransposon in the Wnt9b promoter region causes reduced Wnt9b expression,,Spontaneous insertion of a retrotransposon in the Wnt9b promoter region causes reduced Wnt9b expression. Decreased Wnt9b expression is correlated with increased incidence of cleft lip and palate,,,UniProt,Disease
SYN:accumulation-of-cholesterol-in-lysosomes-and-impaired-cholesterol-homeostasis,accumulation of cholesterol in lysosomes and impaired cholesterol homeostasis,,"Defects in Npc1 cause a lysosomal storage disorder characterized by accumulation of cholesterol in lysosomes and impaired cholesterol homeostasis. Causes age-dependent loss of Purkinje cells, loss of body weight and leads then to ataxia and premature death at a median age of 72 days",,,UniProt,Disease
SYN:the-tabby-phenotype-in-mice-the-equivalent-of-anhidrotic-ectodermal-dysplasia-in,the tabby phenotype in mice (the equivalent of anhidrotic ectodermal dysplasia in humans),,"Defects in Eda are the cause of the tabby phenotype in mice (the equivalent of anhidrotic ectodermal dysplasia in humans). The disease is characterized by sparse hair (atrichosis or hypotrichosis), abnormal or missing teeth and the inability to sweat due to the absence of sweat glands",,,UniProt,Disease
SYN:autoreactive-cd8-t-cell-mediated-development-of-autoimmune-diabetes,autoreactive CD8(+) T-cell-mediated development of autoimmune diabetes,,Involved in autoreactive CD8(+) T-cell-mediated development of autoimmune diabetes,,,UniProt,Disease
SYN:rostrocaudal-muscular-dystrophy-rmd,rostrocaudal muscular dystrophy (rmd),,Defects in Chkb are a cause of rostrocaudal muscular dystrophy (rmd). The disease is characterized by rapidly progressive muscular dystrophy and neonatal forelimb bone deformity. The dystrophy is only evident in skeletal muscle tissues in an unusual rostral-to-caudal gradient,,,UniProt,Disease
SYN:the-satin-sa-phenotype-and-results-in-a-silky-coat-with-high-sheen-arising-from-,the satin (sa) phenotype and results in a silky coat with high sheen arising from structurally abnormal medulla cells and defects in differentiation of the hair shaft,,Defects in Foxq1 are the cause of the satin (sa) phenotype and results in a silky coat with high sheen arising from structurally abnormal medulla cells and defects in differentiation of the hair shaft,,,UniProt,Disease
SYN:intestinal-tumorigenesis,intestinal tumorigenesis,,Required for tumorigenesis in a AOM/DSS colitis-associated carcinoma model. May be involved in intestinal tumorigenesis,,,UniProt,Disease
SYN:brachymorphism-bm-a-autosomal-recessive-disease-which-is-characterized-by-abnorm,"brachymorphism (bm), a autosomal recessive disease, which is characterized by abnormal hepatic detoxification, bleeding times and postnatal growth, such as dome-shaped skull, short thick tail, and sho",,"Defects in Papss2 are the cause of brachymorphism (bm), a autosomal recessive disease, which is characterized by abnormal hepatic detoxification, bleeding times and postnatal growth, such as dome-shaped skull, short thick tail, and shortened but not widened limbs. The abnormal postnatal growth has been attributed to undersulfation of cartilage proteoglycans",,,UniProt,Disease
SYN:the-pudgy-pu-phenotype,the pudgy (pu) phenotype,,A truncating mutation in Dll3 is the cause of the pudgy (pu) phenotype. Pudgy mice exhibit patterning defects at the earliest stages of somitogenesis. Adult pudgy mice present severe vertebral and rib deformities,,,UniProt,Disease
SYN:ringelschwanz-rs-phenotype,Ringelschwanz (rs) phenotype,,"Defects in Lrp6 are the cause of Ringelschwanz (rs) phenotype. Rs phenotype is a spontaneous mutation that is characterized by a combination of multiple Wnt-deficient phenotypes including dysmorphologies of the axial skeleton, digits and the neural tube. The establishment of the anteroposterior somite compartments, the epithelialization of nascent somites, and the formation of segment borders are disturbed in (rs) mutants. There is delayed ossification at birth and a low bone mass phenotype in adults. Functional analyses reveal impaired targeting to the plasma surface due to reduced interaction with MESD leading to inhibited Wnt/beta-catenin signaling",,,UniProt,Disease
SYN:defects-in-cacng2-cause-the-stargazer-stg-phenotype,Defects in Cacng2 cause the stargazer (stg) phenotype,,"Defects in Cacng2 cause the stargazer (stg) phenotype. Stg mice have spike-wave seizures characteristic of absence epilepsy, with accompanying defects in the cerebellum and inner ear",,,UniProt,Disease
SYN:p53-is-found-in-increased-amounts-in-a-wide-variety-of-transformed-cells,p53 is found in increased amounts in a wide variety of transformed cells,,p53 is found in increased amounts in a wide variety of transformed cells. p53 is frequently mutated or inactivated in many types of cancer,,,UniProt,Disease
SYN:epidermolytic-hyperkeratosis-ehk-also-known-as-bullous-congenital-ichthyosiform-,epidermolytic hyperkeratosis (EHK); also known as bullous congenital ichthyosiform erythroderma (BIE),,"Defects in Krt1 are a cause of epidermolytic hyperkeratosis (EHK); also known as bullous congenital ichthyosiform erythroderma (BIE). EHK is a hereditary skin disorder characterized by intraepidermal blistering, a marked thickening of the stratum corneum, pigmentation of the skin and erosions at sites of trauma which are all present from birth",,,UniProt,Disease
SYN:dysmyelinating-diseases-such-as-the-shiverer-shi-and-myelin-deficient-mld-diseas,"dysmyelinating diseases such as the shiverer (SHI) and myelin deficient (MLD) diseases characterized by decreased myelination in the CNS, tremors, and convulsions of progressively increasing severity ",,"Defects in Mbp are a cause of dysmyelinating diseases such as the shiverer (SHI) and myelin deficient (MLD) diseases characterized by decreased myelination in the CNS, tremors, and convulsions of progressively increasing severity leading to early death. The shiverer mice only express isoform 2, the MLD mice have a reduced amount of Mbp",,,UniProt,Disease
SYN:kuru-creutzfeldt-jakob-disease-cjd-gerstmann-straussler-syndrome-gss-scrapie-bov,"kuru, Creutzfeldt-Jakob disease (CJD), Gerstmann-Straussler syndrome (GSS), scrapie, bovine spongiform encephalopathy (BSE), transmissible mink encephalopathy (TME), etc",,"Found in high quantity in the brain of humans and animals infected with degenerative neurological diseases such as kuru, Creutzfeldt-Jakob disease (CJD), Gerstmann-Straussler syndrome (GSS), scrapie, bovine spongiform encephalopathy (BSE), transmissible mink encephalopathy (TME), etc",,,UniProt,Disease
SYN:the-white-spotting-phenotype-w,the white-spotting phenotype (W),,"Defects in Kit are the cause of the white-spotting phenotype (W). White-spotting variants induces severe effects on pigmentation, gametogenesis and hematopoiesis. Mice homozygous for W42 die perinatally of macrocytic anemia",,,UniProt,Disease
SYN:murine-c5-deficiency-is-caused-by-a-2-base-pairs-deletion-resulting-in-frameshif,Murine C5 deficiency is caused by a 2 base-pairs deletion resulting in frameshift and premature truncation,,Murine C5 deficiency is caused by a 2 base-pairs deletion resulting in frameshift and premature truncation. All C5-deficient strains contain this mutation,,,UniProt,Disease
SYN:abnormal-gut-development-megacolon,abnormal gut development (megacolon),,Overexpression results in abnormal gut development (megacolon),,,UniProt,Disease
SYN:the-tiptoe-walking-ttw-phenotype,the tiptoe walking (ttw) phenotype,,Defects in Enpp1 are the cause of the tiptoe walking (ttw) phenotype. Ttw mice exhibit ossification of the spinal ligaments (PubMed:9662402). Mice display increased bone formation process in joints and develop spontaneous osteoarthritis-like changes (PubMed:22510396),,,UniProt,Disease
SYN:spontaneous-asj-2j-mutant-characterized-by-gait-due-to-stiffening-of-the-joints-,spontaneous asj-2J mutant characterized by gait due to stiffening of the joints (PubMed:25479107),,"Defects in Enpp1 are the cause of spontaneous asj-2J mutant characterized by gait due to stiffening of the joints (PubMed:25479107). Defects are caused by a significant reduction in the plasma diphosphate (PPi) concentration, leading to extensive aberrant mineralization affecting the arterial vasculature, a number of internal organs and the dermal sheath of vibrissae (PubMed:25479107). Asj-2J mice are used as a model for arterial calcification of infancy disorder (GACI1) (PubMed:25479107). Mice also show ectopic mineralization of cartilage and collagen-rich tendons and ligaments (PubMed:26910915)",,,UniProt,Disease
SYN:frequently-activated-by-provirus-insertion-in-murine-leukemia-virus-induced-t-ce,Frequently activated by provirus insertion in murine leukemia virus-induced T-cell lymphomas,,Frequently activated by provirus insertion in murine leukemia virus-induced T-cell lymphomas,,,UniProt,Disease
SYN:osteopetrosis,osteopetrosis,,"A defect in Csf1 is the cause of osteopetrosis. Osteopetrotic mice (op/op) are severely deficient in mature macrophages and osteoclasts, display failed tooth eruption, and have a restricted capacity for bone remodeling",,,UniProt,Disease
SYN:the-brown-b-phenotype,the brown (b) phenotype,,Defects in Tyrp1 are the cause of the brown (b) phenotype. Brown mice have a brown or hypopigmented coat,,,UniProt,Disease
SYN:undulated-un-homozygous-mice-exhibits-vertebral-malformations-along-the-entire-r,Undulated (un) homozygous mice exhibits vertebral malformations along the entire rostro-caudal axis,,Undulated (un) homozygous mice exhibits vertebral malformations along the entire rostro-caudal axis. This is due to a single mutation in the paired box region,,,UniProt,Disease
SYN:deficiency-in-gmp-pde-activity-cause-accumulation-of-cgmp-in-visual-cells,Deficiency in GMP-PDE activity cause accumulation of cGMP in visual cells,,Deficiency in GMP-PDE activity cause accumulation of cGMP in visual cells. The elevated cGMP levels are associated with degeneration of the photoreceptors and blindness,,,UniProt,Disease
SYN:senescence-accelerated-mouse-sam-the-senile-amyloid-is-a-mutated-apolipoprotein-,"senescence accelerated mouse (SAM), the senile amyloid is a mutated apolipoprotein A-II",,"Defects in Apoa2 are the cause of senescence accelerated mouse (SAM), the senile amyloid is a mutated apolipoprotein A-II",,,UniProt,Disease
SYN:the-pathogenesis-of-cytoplasmic-inclusions-as-mallory-bodies-in-livers-of-mice-c,"the pathogenesis of cytoplasmic inclusions (as Mallory bodies) in livers of mice chronically intoxicated with Griseofulvin or DDC (3,5-diethoxycarbonyl-2,4-dihydrocollidine), a model for human alcohol",,"May be involved in the pathogenesis of cytoplasmic inclusions (as Mallory bodies) in livers of mice chronically intoxicated with Griseofulvin or DDC (3,5-diethoxycarbonyl-2,4-dihydrocollidine), a model for human alcoholic hepatitis. Alteration of Tau (abnormal phosphorylation and cross-linking) could contribute to Mallory bodies formation and disturbance of microtubule function in alcoholic liver disease",,,UniProt,Disease
SYN:defects-in-tyr-result-in-various-forms-of-albinism,Defects in Tyr result in various forms of albinism,,Defects in Tyr result in various forms of albinism. Himalayan strain tyrosinase is temperature-sensitive,,,UniProt,Disease
SYN:the-sparse-fur-spf-phenotype,the Sparse fur (spf) phenotype,,"Defects in Otc are the cause of the Sparse fur (spf) phenotype. Spf mouse have an OTCase with an overall decrease in activity, and altered substrate affinity",,,UniProt,Disease
SYN:transmission-ratio-distortion-trd-in-mouse-t-haplotype-which-causes-male-sterili,transmission ratio distortion (trd) in mouse t-haplotype which causes male sterility,,Could be involved in transmission ratio distortion (trd) in mouse t-haplotype which causes male sterility,,,UniProt,Disease
SYN:sap-is-a-precursor-of-amyloid-component-p-which-is-found-in-basement-membrane-an,SAP is a precursor of amyloid component P which is found in basement membrane and associated with amyloid deposits,,SAP is a precursor of amyloid component P which is found in basement membrane and associated with amyloid deposits,,,UniProt,Disease
SYN:asebia-ab-pubmed-10545940-pubmed-10854228-pubmed-10899171-pubmed-15278437-pubmed,"asebia (ab) (PubMed:10545940, PubMed:10854228, PubMed:10899171, PubMed:15278437, PubMed:17738154)",,"Defects is Scd1 are the cause of asebia (ab) (PubMed:10545940, PubMed:10854228, PubMed:10899171, PubMed:15278437, PubMed:17738154). The trait is due to spontaneous autosomal recessive mutations that give rise to deletions or point mutations in Scd1. The ab trait has complete penetrance (PubMed:17738154). Ab mice are characterized by reduced body weight, extreme sebaceous gland hypoplasia leading to nearly complete absence of sebaceous glands, and thickened, scaly skin with hyperkeratosis and alopecia (PubMed:10854228, PubMed:15278437, PubMed:17738154). The hair follicles are abnormally long and extend at a sharp angle into the subcutis, probably due to abnormal persistence of inner root sheath. Frequently the hair shaft ruptures through the base of the hair follicle, giving rise to inflammation that results in scarring alopecia (PubMed:10854228, PubMed:15278437). Besides, ab mice display increased transepithelial water loss (PubMed:10854228). Ab mice present a narrow eye fissure and their eyes are nearly closed (PubMed:10854228, PubMed:15278437). Older mice develop blindness (PubMed:17738154). Scd1 activity is almost absent in liver, and is not compensated by expression of another family member (PubMed:10899171). Liver levels of total cholesterol esters are decreased by 87%, while plasma cholesterol levels are increased by 35% (PubMed:10899171). Likewise, skin sterol esters and diol diesters are strongly reduced (PubMed:10854228). Liver triglyceride levels are decreased by 62%, while plasma triglyceride levels are decreased by 67% (PubMed:10899171). The fatty acid composition of liver triglycerides is altered, with a decrease of about 85% in palmitoleate (C16:1) and oleate (C18:1) levels (PubMed:10899171). These defects cannot be compensated by a diet enriched in unsaturated fatty acids (PubMed:10899171, PubMed:11441127)",,,UniProt,Disease
SYN:certain-post-receptor-defects-in-non-insulin-dependent-diabetes-mellitus-niddm,certain post-receptor defects in non-insulin-dependent diabetes mellitus (NIDDM),,Defects in Slc2a4 may be the cause of certain post-receptor defects in non-insulin-dependent diabetes mellitus (NIDDM),,,UniProt,Disease
SYN:retinal-degeneration-slow-rds-pubmed-8530028,retinal degeneration slow (Rds) (PubMed:8530028),,Responsible for retinal degeneration slow (Rds) (PubMed:8530028),,,UniProt,Disease
SYN:this-protein-is-found-in-reduced-amount-in-tumor-cells-of-high-metastatic-potent,This protein is found in reduced amount in tumor cells of high metastatic potential,,This protein is found in reduced amount in tumor cells of high metastatic potential,,,UniProt,Disease
SYN:activation-of-met-after-rearrangement-with-the-tpr-translocated-promoter-locus-o,Activation of Met after rearrangement with the TPR (translocated promoter) locus of chromosome 1 produces an oncogenic protein,,Activation of Met after rearrangement with the TPR (translocated promoter) locus of chromosome 1 produces an oncogenic protein,,,UniProt,Disease
SYN:a-spontaneous-mutation-leading-to-a-frameshift-and-truncation-of-kcna2-causes-me,A spontaneous mutation leading to a frameshift and truncation of Kcna2 causes megencephaly with a 25% increase of brain weight relative to wild-type,,"A spontaneous mutation leading to a frameshift and truncation of Kcna2 causes megencephaly with a 25% increase of brain weight relative to wild-type. Especially the hippocampus shows increased proliferation of neurons and astrocytes, leading to increased brain volume (PubMed:17315199). Mutant mice appear normal at birth. After 3-4 weeks, they display low body weight, a subtle shakiness in their gait, a preference for a strange sitting position that is maintained for periods ranging from 30 seconds to several minutes, excessive lacrimation and acoustic startle hypersensitivity (PubMed:21966978, PubMed:8995755). The increase in the acoustic startle response is down-regulated by treatment with the anti-epileptic drug valproate (PubMed:21966978). Mutant mice display an abnormal electro-encephalogram with single spikes and waves, when anesthesized (PubMed:21966978). The electric activity of mossy cells from the dentate hilus region is altered and shows increased firing of action potentials, probably due to the absence of functional Kcna1 channels (PubMed:14686897). Heterozygotes show mechanical allodynia, but no increased sensitivity to heat (PubMed:23473320). Homozygotes show no alteration of the islet of Langerhans structure, of the basal levels of insulin secretion and blood glucose levels (PubMed:21483673). Compared to wild-type, they display moderately increased insulin secretion in response to a glucose stimulus (PubMed:21483673). Besides, the frequency of beta cell action potentials is increased (PubMed:21483673)",,,UniProt,Disease
SYN:trembler-tr-phenotype,trembler (tr) phenotype,,A defect in Pmp-22 is the cause of trembler (tr) phenotype. Trembler mice show a Schwann cells defect characterized by severe hypomyelination and continuing Schwann cells proliferation throughout life,,,UniProt,Disease
SYN:murine-acute-friend-erythroleukemia,murine acute Friend erythroleukemia,,May be involved in murine acute Friend erythroleukemia. It is a target region for SFFV proviral insertion,,,UniProt,Disease
SYN:a-subset-of-rt6-regulatory-t-cells-may-confer-protection-to-autoimmune-disease-a,"A subset of Rt6+ regulatory T-cells may confer protection to autoimmune disease, and failure to develop this subset may result in enhanced susceptibility for autoimmune disease",,"A subset of Rt6+ regulatory T-cells may confer protection to autoimmune disease, and failure to develop this subset may result in enhanced susceptibility for autoimmune disease",,,UniProt,Disease
SYN:phosphorylase-kinase-deficiency-in-i-strain-mice,phosphorylase kinase deficiency in I-strain mice,,Defects in Phka1 are the cause of phosphorylase kinase deficiency in I-strain mice,,,UniProt,Disease
SYN:embryo-lacking-the-t-gene-fail-to-form-the-notochord-the-entire-posterior-region,"Embryo lacking the T gene fail to form the notochord, the entire posterior region and the allantois, and die at about 10 days of gestation",,"Embryo lacking the T gene fail to form the notochord, the entire posterior region and the allantois, and die at about 10 days of gestation",,,UniProt,Disease
SYN:expression-of-the-mutant-form-uv25-causes-malignant-transformation-of-cells,Expression of the mutant form UV25 causes malignant transformation of cells,,Expression of the mutant form UV25 causes malignant transformation of cells,,,UniProt,Disease
SYN:expression-of-this-gene-is-altered-by-viral-integration-and-this-altered-express,Expression of this gene is altered by viral integration and this altered expression may predispose cells to myeloid disease (PubMed:2167436),,Expression of this gene is altered by viral integration and this altered expression may predispose cells to myeloid disease (PubMed:2167436),,,UniProt,Disease
SYN:a-viable-autosomal-recessive-mutation-named-fechm1pas-or-fch-that-causes-jaundic,a viable autosomal recessive mutation (named Fechm1Pas or Fch) that causes jaundice and anemia,,Defects in Fech are the cause of a viable autosomal recessive mutation (named Fechm1Pas or Fch) that causes jaundice and anemia,,,UniProt,Disease
SYN:can-be-converted-to-an-oncogenic-protein-by-deletions-or-mutations-that-disturb-,Can be converted to an oncogenic protein by deletions or mutations that disturb its ability to down-regulate RTKs,,Can be converted to an oncogenic protein by deletions or mutations that disturb its ability to down-regulate RTKs,,,UniProt,Disease
SYN:the-dramatic-proliferation-of-hepatic-peroxisomes-as-well-as-liver-hyperplasia,the dramatic proliferation of hepatic peroxisomes as well as liver hyperplasia,,"Peroxisome proliferators are a diverse group of chemicals that include hypolipidaemic drugs, herbicides and industrial plasticisers. Administration of these chemicals to rodents results in the dramatic proliferation of hepatic peroxisomes as well as liver hyperplasia",,,UniProt,Disease
SYN:the-retinal-degeneration-rd-allele-which-is-characterized-by-retinal-degeneratio,"the retinal degeneration (rd) allele, which is characterized by retinal degeneration (PubMed:1656438, PubMed:1977087)",,"Defects in Pde6b are the cause of the retinal degeneration (rd) allele, which is characterized by retinal degeneration (PubMed:1656438, PubMed:1977087). The retinal degeneration 1 (rd1) allele also contains a cofounding mutation in the Gpr179 gene (PubMed:25613321)",,,UniProt,Disease
SYN:probably-related-to-tumorigenesis-since-it-is-expressed-strongly-in-most-tumor-c,Probably related to tumorigenesis since it is expressed strongly in most tumor cell lines,,Probably related to tumorigenesis since it is expressed strongly in most tumor cell lines,,,UniProt,Disease
SYN:limb-patterning-defects-accompanied-by-mullerian-duct-associated-sterility-in-bo,limb patterning defects accompanied by Mullerian duct-associated sterility in both sexes,,Defects in Wnt7a cause the postaxial hemimelia (px) phenotype that is characterized by limb patterning defects accompanied by Mullerian duct-associated sterility in both sexes,,,UniProt,Disease
SYN:the-splotch-sp-mouse-mutant-displays-defects-in-neural-tube-closure-in-the-form-,The Splotch (Sp) mouse mutant displays defects in neural tube closure in the form of exencephaly and spina bifida,,The Splotch (Sp) mouse mutant displays defects in neural tube closure in the form of exencephaly and spina bifida. The splotch-delayed (Spd) phenotype is less severe than the other Sp alleles,,,UniProt,Disease
SYN:the-lymphoproliferation-phenotype-lpr-pubmed-1372394,the lymphoproliferation phenotype (lpr) (PubMed:1372394),,Defects in Fas are the cause of the lymphoproliferation phenotype (lpr) (PubMed:1372394). Lpr mice show lymphadenopathy and autoantibody production (PubMed:1372394),,,UniProt,Disease
SYN:erythroleukemia-induction-by-friend-murine-leukemia-virus-f-mulv,erythroleukemia induction by Friend murine leukemia virus (F-MULV),,Involved in erythroleukemia induction by Friend murine leukemia virus (F-MULV),,,UniProt,Disease
SYN:disruption-of-the-mov-34-locus-is-a-recessive-embryonic-lethal-mutation,Disruption of the Mov-34 locus is a recessive embryonic lethal mutation,,Disruption of the Mov-34 locus is a recessive embryonic lethal mutation,,,UniProt,Disease
SYN:defects-in-cers1-cause-cerebellar-ataxia-and-purkinje-cell-degeneration,Defects in CERS1 cause cerebellar ataxia and Purkinje cell degeneration,,"Defects in CERS1 cause cerebellar ataxia and Purkinje cell degeneration. Two mouse strains flincher (fln) and toppler (to) carry spontaneous recessive mutations at the TLC domain of CERS1, resulting in complete loss of the catalytic activity associated with a reduction in sphingolipid biosynthesis and accumulation of lipofuscin in many brain regions",,,UniProt,Disease
SYN:participates-in-a-chromosomal-translocation-that-produces-a-tif1a-braf-t18-oncog,Participates in a chromosomal translocation that produces a Tif1a-BRAF (T18) oncogene originally isolated from a furfural-induced hepatoma,,Participates in a chromosomal translocation that produces a Tif1a-BRAF (T18) oncogene originally isolated from a furfural-induced hepatoma,,,UniProt,Disease
SYN:a-phenotype-resembling-human-spondyloepiphyseal-dysplasia-congenita-sedc,a phenotype resembling human spondyloepiphyseal dysplasia congenita (sedc),,"Defects in Col2a1 are the cause of a phenotype resembling human spondyloepiphyseal dysplasia congenita (sedc). Homozygous sedc mice can be identified at birth by their small size and shortened trunk. Adults have shortened noses, dysplastic vertebrae, femora and tibias, and retinoschisis and hearing loss",,,UniProt,Disease
SYN:the-motheaten-me-or-viable-motheaten-mev-phenotypes,the motheaten (me) or viable motheaten (mev) phenotypes,,Defects in Ptpn6 are the cause of the motheaten (me) or viable motheaten (mev) phenotypes. Mice homozygous for the recessive allelic mutations develop severe defects in hematopoiesis,,,UniProt,Disease
SYN:the-slaty-mutation-in-tyrp2-leads-to-a-decrease-of-dt-activity-and-a-consequent-,The slaty mutation in Tyrp2 leads to a decrease of DT activity and a consequent change in the pigmentation of the mice to a dark gray/brown eumelanin,,"The slaty mutation in Tyrp2 leads to a decrease of DT activity and a consequent change in the pigmentation of the mice to a dark gray/brown eumelanin. The slaty-2j mutation has a similar phenotype, the slaty-lt (light) mutation has a more severe effect and is semidominant; its phenotype may be a result of the failure of the enzyme to be correctly targeted to its normal location on the inner face of the melanosomal membrane",,,UniProt,Disease
SYN:the-extracellular-accumulation-in-various-tissues-of-the-saa-protein,the extracellular accumulation in various tissues of the SAA protein,,"Reactive, secondary amyloidosis is characterized by the extracellular accumulation in various tissues of the SAA protein. These deposits are highly insoluble and resistant to proteolysis; they disrupt tissue structure and compromise function",,,UniProt,Disease
